dataset,target,split,features,head,n_request,mean,std,count,n_train,sem
SAbDab_Chen,developability,random,cheap,gbm,all,0.8910882685778951,0.012703084828310675,20,1806.0,0.0028404961200048915
SAbDab_Chen,developability,random,cheap,linear,100,0.6950906176057063,0.036573462227745816,20,100.0,0.008178074771376054
SAbDab_Chen,developability,random,cheap,linear,1000,0.8289251911800006,0.02052944553325203,20,1000.0,0.004590523575273096
SAbDab_Chen,developability,random,cheap,linear,200,0.7518479304550598,0.02246030028556564,20,200.0,0.005022275823358271
SAbDab_Chen,developability,random,cheap,linear,25,0.6191098556290937,0.0671871610581004,20,25.0,0.015023505934113918
SAbDab_Chen,developability,random,cheap,linear,50,0.6669717259353246,0.05566959715056875,20,50.0,0.012448100350870033
SAbDab_Chen,developability,random,cheap,linear,500,0.8082468879668049,0.021601342056158174,20,500.0,0.004830206924279476
SAbDab_Chen,developability,random,cheap,linear,all,0.8416545214498818,0.015783798737918645,20,1806.0,0.0035293646921161475
SAbDab_Chen,developability,random,cheap,mlp,100,0.7088761530811701,0.028101728878169654,20,100.0,0.006283737605685625
SAbDab_Chen,developability,random,cheap,mlp,1000,0.8397461506807037,0.025097456285397446,20,1000.0,0.005611961831647805
SAbDab_Chen,developability,random,cheap,mlp,200,0.7630726826926375,0.025121921087083145,20,200.0,0.005617432327610332
SAbDab_Chen,developability,random,cheap,mlp,25,0.6080891430335036,0.07560362787191938,20,25.0,0.016905485126720948
SAbDab_Chen,developability,random,cheap,mlp,50,0.666900569253455,0.05497726935869511,20,50.0,0.012293291150335853
SAbDab_Chen,developability,random,cheap,mlp,500,0.8145472548952368,0.026826282880522162,20,500.0,0.005998539210448642
SAbDab_Chen,developability,random,cheap,mlp,all,0.8688363739240768,0.014545564972355254,20,1806.0,0.0032524872049326196
SAbDab_Chen,developability,random,esm2,gbm,100,0.6916090840506156,0.031168799558552403,20,100.0,0.00696955545899886
SAbDab_Chen,developability,random,esm2,gbm,1000,0.8583591955008402,0.014307567963156208,20,1000.0,0.0031992694558315485
SAbDab_Chen,developability,random,esm2,gbm,200,0.7535599773670313,0.02439722162364844,20,200.0,0.00545538460126057
SAbDab_Chen,developability,random,esm2,gbm,25,0.5724880833990603,0.07225003261506398,20,25.0,0.016155598430385994
SAbDab_Chen,developability,random,esm2,gbm,50,0.6294580089846027,0.0439414321934153,20,50.0,0.00982560294131743
SAbDab_Chen,developability,random,esm2,gbm,500,0.8218798223654881,0.01876267784795581,20,500.0,0.004195462310795865
SAbDab_Chen,developability,random,esm2,gbm,all,0.8917265354411714,0.011561536273943445,20,1806.0,0.0025852381032867174
SAbDab_Chen,developability,random,esm2,linear,100,0.6750518672199171,0.04399933571023475,20,100.0,0.009838550561291888
SAbDab_Chen,developability,random,esm2,linear,1000,0.8417076746339289,0.021120238261337892,20,1000.0,0.004722628845334349
SAbDab_Chen,developability,random,esm2,linear,200,0.7391683241315457,0.027265126213317187,20,200.0,0.006096667562808866
SAbDab_Chen,developability,random,esm2,linear,25,0.6019276602311306,0.07211313060885596,20,25.0,0.01612498621117227
